date,fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
1970-01-01 00:00:00.000000000,2020-12-31,USD,-8159000000,-1420000000,-30059000000,-6785000000,24000000,-10292000000,-4044000000,-1302000000,29146000000,-1604000000,38747000000,209000000,6862000000,None,-6272000000,None,-1512000000,5462000000,15115000000,-1512000000,None,-1604000000
1970-01-01 00:00:00.000000001,2019-12-31,USD,-4193000000,9000000000,-19864000000,-569000000,-223000000,-7299000000,-2874000000,8975000000,18485000000,9151000000,36314000000,211000000,5741000000,None,-4202000000,None,-1961000000,4838000000,15102000000,-1961000000,None,9151000000
1970-01-01 00:00:00.000000002,2018-12-31,USD,2474000000,1161000000,-11603000000,-162000000,500000000,-15572000000,-3193000000,91000000,22112000000,2099000000,29274000000,-796000000,4315000000,None,-12879000000,None,-1892000000,4374000000,13915000000,-1892000000,None,2099000000
1970-01-01 00:00:00.000000003,2017-12-31,USD,-13250000000,3534000000,-20038000000,-55000000,500000000,-5235000000,-3259000000,3449000000,15934000000,-1057000000,24216000000,-38000000,3025000000,0,-1976000000,0,-1609000000,3370000000,6733000000,-1609000000,233000000,-824000000
1970-01-01 00:00:00.000000004,2016-12-31,USD,-7186000000,2392000000,-11739000000,-62000000,-312000000,-310000000,-310000000,2198000000,10217000000,4059000000,16108000000,-145000000,2342000000,0,0,0,-1489000000,2791000000,4491000000,-1489000000,-63000000,3996000000
