date,fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
1970-01-01 00:00:00.000000000,2020-12-31,USD,-9822000000,7407000000,-32773000000,-670000000,9661000000,-24408000000,-5720000000,5813000000,40269000000,7943000000,65124000000,8324000000,13697000000,None,-28349000000,None,-6524000000,15648000000,22281000000,-6524000000,None,7943000000
1970-01-01 00:00:00.000000001,2019-12-31,USD,-4017000000,4470000000,-29491000000,-1926000000,-268000000,-23209000000,-4765000000,7822000000,34343000000,1820000000,54520000000,9672000000,11781000000,None,-18176000000,None,-4340000000,10375000000,23548000000,-4340000000,None,1820000000
1970-01-01 00:00:00.000000002,2018-12-31,USD,-1972000000,7430000000,-28504000000,-1393000000,-61000000,-13179000000,-4993000000,7890000000,30736000000,6288000000,47971000000,2032000000,9035000000,None,-8125000000,None,-2169000000,9942000000,25139000000,-2169000000,-302000000,5986000000
1970-01-01 00:00:00.000000003,2017-12-31,USD,-18029000000,14223000000,-31401000000,-188000000,-86000000,-8298000000,-4166000000,3682000000,12662000000,-2608000000,37091000000,5900000000,6915000000,0,-4046000000,0,-3768000000,8074000000,13184000000,-3768000000,405000000,-2203000000
1970-01-01 00:00:00.000000004,2016-12-31,USD,-18229000000,4973000000,-31165000000,-2724000000,-1335000000,-8332000000,-3304000000,2420000000,19478000000,-3461000000,36036000000,7324000000,6144000000,0,-3693000000,0,-2578000000,6839000000,10212000000,-2578000000,-170000000,-3631000000
