date,fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
1970-01-01 00:00:00.000000000,2020-12-31,USD,-505354000,156578000,-505354000,-7431000,1001905000,1237311000,-7559000,-183515000,2761395000,3159034000,2427077000,-1090757000,115710000,None,235406000,None,None,484151000,497923000,None,None,3159034000
1970-01-01 00:00:00.000000001,2019-12-31,USD,-387064000,253841000,-387064000,-134029000,4433172000,4505662000,-36134000,-216866000,1866916000,1231276000,-2887322000,-5005677000,103579000,None,72490000,None,None,-105981000,253035000,None,None,1231276000
1970-01-01 00:00:00.000000002,2018-12-31,USD,-339120000,349620000,-339120000,-165174000,3925981000,4048527000,-1956000,-47708000,1211242000,1028928000,-2680479000,-5525990000,83157000,None,124502000,None,None,1201492000,173946000,None,-39682000,989246000
1970-01-01 00:00:00.000000003,2017-12-31,USD,342859000,366870000,34329000,-135228000,2988357000,3076990000,255000,-193556000,558929000,1325371000,-1785948000,-3855182000,71911000,0,88378000,0,0,1071524000,173302000,None,29848000,1355219000
1970-01-01 00:00:00.000000004,2016-12-31,USD,422729000,197704000,49765000,-265311000,989300000,1091630000,65351000,63382000,186678000,-332589000,-1473984000,-3791160000,57528000,0,36979000,0,0,1875266000,107653000,None,-9165000,-341754000
