date,fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
1970-01-01 00:00:00.000000000,2020-12-31,USD,-22242000000,23234000000,-59611000000,2771000000,8972000000,-1104000000,-10076000000,5754000000,21331000000,5349000000,66064000000,1265000000,25251000000,None,None,-2849000000,-8169000000,6001000000,40140000000,-8169000000,618000000,5967000000
1970-01-01 00:00:00.000000001,2019-12-31,USD,-9131000000,6810000000,-24281000000,1711000000,-411000000,-10066000000,-9655000000,-1383000000,11588000000,4167000000,38514000000,1711000000,21789000000,None,None,-3278000000,-7681000000,7575000000,16861000000,-7681000000,70000000,4237000000
1970-01-01 00:00:00.000000002,2018-12-31,USD,1140000000,3735000000,-12369000000,-82000000,-7349000000,-7686000000,-337000000,472000000,10073000000,10668000000,30723000000,1151000000,15341000000,None,None,-1314000000,-4615000000,6352000000,13427000000,-4615000000,-351000000,10317000000
1970-01-01 00:00:00.000000003,2017-12-31,USD,-3789000000,8196000000,-27819000000,-12075000000,10060000000,9860000000,-200000000,283000000,3033000000,475000000,18434000000,None,11478000000,0,0,-3583000000,-4786000000,4096000000,11955000000,-4786000000,713000000,1188000000
1970-01-01 00:00:00.000000004,2016-12-31,USD,-3023000000,18685000000,-9876000000,-116000000,-3593000000,-2911000000,682000000,1724000000,2371000000,3656000000,16443000000,None,-1860000000,0,0,-1426000000,-3367000000,2040000000,6737000000,-3367000000,-212000000,3444000000
